year,country,survival,children,population
1960,Zimbabwe,0.8458,7.16,3752373
1960,Zambia,0.7904,7.02,3044733
1960,Vietnam,0.90311951,7.09,35172657
1960,Venezuela,0.916,6.62,7562108
1960,Vanuatu,0.8399,7.2,63702
1960,Uruguay,0.9381,2.88,2538095
1960,United States,0.9699,3.59,186326215
1960,United Kingdom,0.9735,2.69,52544356
1960,United Arab Emirates,0.8075,6.93,89871
1960,Ukraine,0.96286,2.45,42783010
1960,Uganda,0.7795,7.0,6788219
1960,Turkey,0.7808,6.313,28160579
1960,Tunisia,0.7248,7.18,4220701
1960,Trinidad and Tobago,0.9331,5.24,841210
1960,Tonga,0.9402,7.36,61601
1960,Togo,0.7313,6.52,1577708
1960,Thailand,0.852,6.15,27312399
1960,Tanzania,0.7586,6.81,10074485
1960,Syria,0.8054,7.47,4566822
1960,Switzerland,0.9734,2.52,5296052
1960,Sweden,0.9806,2.29,7480001
1960,Swaziland,0.7824,6.72,349181
1960,Sudan,0.7986,6.63,11561784
1960,Sri Lanka,0.8886,5.541,10020405
1960,Spain,0.9444,2.77,30413044
1960,Solomon Islands,0.8355,6.39,126363
1960,Slovenia,0.953126291,2.32,1580010
1960,Slovak Republic,0.96543,3.09,4093623
1960,Singapore,0.9518,5.542,1633694
1960,Sierra Leone,0.6114,6.03,2187240
1960,Senegal,0.6889,6.64,3047804
1960,Saudi Arabia,0.7575121,7.22,4041422
1960,Sao Tome and Principe,0.904758679,6.24,64251
1960,Samoa,0.865229568,7.546,109917
1960,Rwanda,0.7955,8.17,2771018
1960,Russia,0.9531,2.72,119905701
1960,Romania,0.904758679,2.24,18407002
1960,Qatar,0.861630402,6.97,47085
1960,Portugal,0.8883,3.16,8882954
1960,Poland,0.9347,2.97,29033001
1960,Philippines,0.9031,7.15,26010295
1960,Peru,0.7645,6.88,9929439
1960,Paraguay,0.9107,6.5,1905829
1960,Papua New Guinea,0.7986,6.28,1966961
1960,Panama,0.9006,5.94,1128378
1960,Pakistan,0.7777971437,6.6,45920204
1960,Oman,0.6723,7.25,557492
1960,Norway,0.9773,2.88,3580998
1960,Nigeria,0.7315442245,6.35,45926253
1960,Nicaragua,0.8039,7.34,1772895
1960,New Zealand,0.9723,3.54296,2372000
1960,Netherlands,0.9791,3.12,11418460
1960,Nepal,0.6965,6.1,9740462
1960,Namibia,0.847044268,6.15,602545
1960,Myanmar,0.72528205,6.05,20957397
